Confucius                                                   孔子                                                                                                                            
Dr.                                                         博士                                                                                                                            
MRT/mass_rapid_transit/subway/underground/metro             MRT/mass_rapid_transit/地鐵/地下/地鐵                                                                                       
Mandarin                                                    普通話                                                                                                                         
airline                                                     航空公司                                                                                                                      
aid                                                         援助                                                                                                                            
aircraft                                                    飛機                                                                                                                            
artist                                                      藝術家                                                                                                                         
aim                                                         目標                                                                                                                            
addition                                                    添加                                                                                                                            
affair                                                      事務                                                                                                                            
asleep                                                      睡著了                                                                                                                         
advance                                                     進步                                                                                                                            
attention                                                   注意力                                                                                                                         
almond                                                      杏仁                                                                                                                            
active                                                      積極的                                                                                                                         
absence                                                     缺席                                                                                                                            
abroad                                                      國外                                                                                                                            
assistant                                                   助手                                                                                                                            
ancient                                                     古老的                                                                                                                         
apply                                                       申請                                                                                                                            
appetite                                                    食慾                                                                                                                            
appearance                                                  外貌                                                                                                                            
avoid                                                       避免                                                                                                                            
apartment                                                   公寓                                                                                                                            
anywhere/anyplace                                           任何地方/任何地方                                                                                                         
anyway                                                      反正                                                                                                                            
anytime                                                     任何時候                                                                                                                      
anyhow                                                      無論如何                                                                                                                      
anybody/anyone                                              任何人/任何人                                                                                                               
apron                                                       圍裙                                                                                                                            
argue(argument)                                             爭辯（爭論）                                                                                                                
arm(2)                                                      手臂(2)                                                                                                                         
ankle                                                       踝                                                                                                                               
attend                                                      參加                                                                                                                            
arrow                                                       箭                                                                                                                               
album                                                       專輯                                                                                                                            
alike                                                       一樣                                                                                                                            
alive                                                       活                                                                                                                               
article(2)/essay                                            文章(2)/論文                                                                                                                  
attack                                                      攻擊                                                                                                                            
aloud                                                       大聲                                                                                                                            
alphabet                                                    字母                                                                                                                            
alarm                                                       警報                                                                                                                            
although                                                    雖然                                                                                                                            
altogether                                                  共                                                                                                                               
arrive                                                      到達                                                                                                                            
arrest                                                      逮捕                                                                                                                            
arrange(ment)                                               安排）                                                                                                                         
armchair                                                    扶手椅                                                                                                                         
amount                                                      數量                                                                                                                            
bet                                                         賭注                                                                                                                            
backward                                                    落後                                                                                                                            
board(2)                                                    董事會(2)                                                                                                                      
board(1)                                                    董事會(1)                                                                                                                      
bark(2)                                                     樹皮(2)                                                                                                                         
bedroom                                                     臥室                                                                                                                            
bony                                                        骨瘦如柴                                                                                                                      
bind                                                        綁定                                                                                                                            
bookcase                                                    書櫃                                                                                                                            
brush                                                       刷子                                                                                                                            
bill                                                        賬單                                                                                                                            
brunch                                                      早午餐                                                                                                                         
blank                                                       空白的                                                                                                                         
bark(1)                                                     樹皮(1)                                                                                                                         
basement                                                    地下室                                                                                                                         
broadcast                                                   播送                                                                                                                            
broad                                                       廣闊                                                                                                                            
basics                                                      基本                                                                                                                            
brief                                                       簡短的                                                                                                                         
basis                                                       基礎                                                                                                                            
borrow                                                      借                                                                                                                               
besides                                                     除了                                                                                                                            
brick                                                       磚                                                                                                                               
baby-sitter                                                 保姆                                                                                                                            
baby-sit                                                    保姆                                                                                                                            
burst                                                       爆裂                                                                                                                            
belt                                                        腰帶                                                                                                                            
banker                                                      銀行家                                                                                                                         
button                                                      按鈕                                                                                                                            
barbecue/BBQ                                                燒烤/BBQ                                                                                                                        
bench                                                       長椅                                                                                                                            
bamboo                                                      竹子                                                                                                                            
bend                                                        彎曲                                                                                                                            
bomb                                                        炸彈                                                                                                                            
business                                                    商業                                                                                                                            
beef                                                        牛肉                                                                                                                            
balcony                                                     陽台                                                                                                                            
backward(s)                                                 向後）                                                                                                                         
burn                                                        燒傷                                                                                                                            
bundle                                                      捆                                                                                                                               
bitter                                                      苦的                                                                                                                            
blackboard                                                  黑板                                                                                                                            
boil                                                        熬                                                                                                                               
bakery                                                      麵包店                                                                                                                         
bun/roll                                                    包子/卷                                                                                                                        
beep                                                        嘟                                                                                                                               
beer                                                        啤酒                                                                                                                            
bake                                                        烤                                                                                                                               
beetle                                                      甲蟲                                                                                                                            
bow(2)                                                      弓(2)                                                                                                                            
battle                                                      戰鬥                                                                                                                            
boss                                                        老闆                                                                                                                            
brand                                                       牌                                                                                                                               
branch                                                      分支                                                                                                                            
beyond                                                      超過                                                                                                                            
blind                                                       瞎的                                                                                                                            
brain                                                       腦                                                                                                                               
bead                                                        珠子                                                                                                                            
bowling                                                     保齡球                                                                                                                         
beg                                                         求                                                                                                                               
belief                                                      信仰                                                                                                                            
bow(1)                                                      弓(1)                                                                                                                            
bean                                                        豆                                                                                                                               
believable                                                  可信的                                                                                                                         
beard                                                       鬍鬚                                                                                                                            
bear(2)                                                     熊(2)                                                                                                                            
bottle                                                      瓶子                                                                                                                            
bother                                                      打擾                                                                                                                            
beginner                                                    初學者                                                                                                                         
bloody                                                      血腥                                                                                                                            
clothing                                                    衣服                                                                                                                            
chemical                                                    化學品                                                                                                                         
castle                                                      城堡                                                                                                                            
candle                                                      蠟燭                                                                                                                            
cheat                                                       欺騙                                                                                                                            
clown                                                       小丑                                                                                                                            
countryside                                                 農村                                                                                                                            
county                                                      縣                                                                                                                               
cell                                                        細胞                                                                                                                            
couple                                                      夫妻                                                                                                                            
cloudy                                                      多雲的                                                                                                                         
courage                                                     勇氣                                                                                                                            
citizen                                                     公民                                                                                                                            
childish                                                    幼稚                                                                                                                            
court                                                       法庭                                                                                                                            
custom                                                      風俗                                                                                                                            
cousin                                                      表哥                                                                                                                            
cheap                                                       便宜的                                                                                                                         
childlike                                                   孩子氣的                                                                                                                      
cassette                                                    盒式磁帶                                                                                                                      
crane                                                       起重機                                                                                                                         
central                                                     中央                                                                                                                            
cave                                                        洞穴                                                                                                                            
clap                                                        拍                                                                                                                               
café/cafe                                                  咖啡館/咖啡館                                                                                                               
cafeteria                                                   食堂                                                                                                                            
cockroach/roach                                             蟑螂/蟑螂                                                                                                                     
cock                                                        公雞                                                                                                                            
claim                                                       宣稱                                                                                                                            
calendar                                                    日曆                                                                                                                            
calm                                                        冷靜的                                                                                                                         
coal                                                        煤炭                                                                                                                            
costly                                                      昂貴                                                                                                                            
century                                                     世紀                                                                                                                            
coach                                                       教練                                                                                                                            
classic                                                     經典的                                                                                                                         
cotton                                                      棉布                                                                                                                            
cough                                                       咳嗽                                                                                                                            
chess                                                       棋                                                                                                                               
customer                                                    顧客                                                                                                                            
ceiling                                                     天花板                                                                                                                         
cancel                                                      取消                                                                                                                            
cancer                                                      癌症                                                                                                                            
club                                                        俱樂部                                                                                                                         
change(2)                                                   變化(2)                                                                                                                         
choose                                                      選擇                                                                                                                            
crowd                                                       人群                                                                                                                            
cruel                                                       殘忍的                                                                                                                         
carpet                                                      地毯                                                                                                                            
carrot                                                      蘿蔔                                                                                                                            
climate                                                     氣候                                                                                                                            
cart                                                        大車                                                                                                                            
clever                                                      聰明的                                                                                                                         
cartoon                                                     卡通片                                                                                                                         
chopstick(s)                                                筷子）                                                                                                                         
character                                                   特點                                                                                                                            
crab                                                        螃蟹                                                                                                                            
change(1)                                                   變化(1)                                                                                                                         
chalk                                                       粉筆                                                                                                                            
culture                                                     文化                                                                                                                            
clerk                                                       文員                                                                                                                            
cash                                                        現金                                                                                                                            
cure                                                        治愈                                                                                                                            
cleaner                                                     清潔器                                                                                                                         
curious                                                     好奇的                                                                                                                         
circle                                                      圓圈                                                                                                                            
cloth                                                       布                                                                                                                               
clothes                                                     衣服                                                                                                                            
