Bible/bible                                                 聖經/聖經                                                                                                                     
X-ray/x-ray                                                 X射線/X射線                                                                                                                   
achieve(ment)                                               成就）                                                                                                                         
announce(ment)                                              公告）                                                                                                                         
arrival                                                     到達                                                                                                                            
ache                                                        疼痛                                                                                                                            
arithmetic                                                  算術                                                                                                                            
apart                                                       分開                                                                                                                            
automatic                                                   自動的                                                                                                                         
angel                                                       天使                                                                                                                            
angle                                                       角度                                                                                                                            
ax/axe                                                      斧頭/斧頭                                                                                                                     
aware                                                       知道的                                                                                                                         
actual                                                      實際的                                                                                                                         
award                                                       獎                                                                                                                               
activity                                                    活動                                                                                                                            
awful                                                       可怕                                                                                                                            
awaken                                                      喚醒                                                                                                                            
appeal                                                      上訴                                                                                                                            
additional                                                  額外的                                                                                                                         
appreciate                                                  欣賞                                                                                                                            
approach                                                    方法                                                                                                                            
automobile/auto                                             汽車/汽車                                                                                                                     
apparent                                                    明顯的                                                                                                                         
approve                                                     批准                                                                                                                            
accurate                                                    準確的                                                                                                                         
awake                                                       甦醒                                                                                                                            
aquarium                                                    水族館                                                                                                                         
affect                                                      影響                                                                                                                            
average                                                     平均                                                                                                                            
avenue                                                      大街                                                                                                                            
available                                                   可用的                                                                                                                         
advice                                                      建議                                                                                                                            
attract                                                     吸引                                                                                                                            
assist                                                      助攻                                                                                                                            
ash                                                         灰                                                                                                                               
advanced                                                    先進的                                                                                                                         
advantage                                                   優勢                                                                                                                            
adventure                                                   冒險                                                                                                                            
advertise(ment/ad)                                          做廣告(ment/ad)                                                                                                                
attempt                                                     試圖                                                                                                                            
attitude                                                    態度                                                                                                                            
advise                                                      建議                                                                                                                            
air-conditioner                                             冷氣機                                                                                                                         
adviser/advisor                                             顧問/顧問                                                                                                                     
athlete                                                     運動員                                                                                                                         
agriculture                                                 農業                                                                                                                            
aboard                                                      船上                                                                                                                            
afterward(s)                                                然後）                                                                                                                         
afford                                                      買得起                                                                                                                         
adopt                                                       採納                                                                                                                            
admire                                                      欽佩                                                                                                                            
aside                                                       在旁邊                                                                                                                         
ambition                                                    志向                                                                                                                            
ambassador                                                  大使                                                                                                                            
amaze(ment)                                                 驚愕）                                                                                                                         
author                                                      作者                                                                                                                            
admit                                                       承認                                                                                                                            
alley                                                       胡同                                                                                                                            
attractive                                                  吸引人的                                                                                                                      
account(1)                                                  帳號(1)                                                                                                                         
account(2)                                                  帳號(2)                                                                                                                         
audience                                                    觀眾                                                                                                                            
bleed                                                       流血                                                                                                                            
belly/stomach/tummy/abdomen                                 肚皮/胃/肚子/腹部                                                                                                          
biscuit                                                     餅乾                                                                                                                            
blanket                                                     毯子                                                                                                                            
berry                                                       漿果                                                                                                                            
benefit                                                     益處                                                                                                                            
billion                                                     十億                                                                                                                            
bingo                                                       答對了                                                                                                                         
blame                                                       責備                                                                                                                            
bless                                                       保佑                                                                                                                            
being                                                       存在                                                                                                                            
beneath                                                     下面                                                                                                                            
burden                                                      負擔                                                                                                                            
bud                                                         芽                                                                                                                               
budget                                                      預算                                                                                                                            
buffalo                                                     水牛                                                                                                                            
buffet                                                      自助餐                                                                                                                         
barn                                                        穀倉                                                                                                                            
bulb                                                        電燈泡                                                                                                                         
bull                                                        公牛                                                                                                                            
bullet                                                      子彈                                                                                                                            
bump                                                        撞                                                                                                                               
bunch                                                       束                                                                                                                               
bucket/pail                                                 桶/桶                                                                                                                           
burglar                                                     竊賊                                                                                                                            
bury                                                        埋葬                                                                                                                            
barely                                                      僅僅                                                                                                                            
bush                                                        襯套                                                                                                                            
bare                                                        裸                                                                                                                               
buzz                                                        嗡嗡聲                                                                                                                         
bang                                                        砰                                                                                                                               
bandage                                                     繃帶                                                                                                                            
bold                                                        大膽的                                                                                                                         
balance                                                     平衡                                                                                                                            
beast                                                       獸                                                                                                                               
beam(1)                                                     梁(1)                                                                                                                            
brake                                                       制動                                                                                                                            
brass                                                       黃銅                                                                                                                            
bay                                                         灣                                                                                                                               
bravery                                                     勇敢                                                                                                                            
breast                                                      胸部                                                                                                                            
breath                                                      呼吸                                                                                                                            
breathe                                                     呼吸                                                                                                                            
breeze                                                      微風                                                                                                                            
bride                                                       新娘                                                                                                                            
behave                                                      表現                                                                                                                            
brilliant                                                   傑出的                                                                                                                         
brook                                                       溪                                                                                                                               
bore                                                        鑽孔                                                                                                                            
broom                                                       掃帚                                                                                                                            
border                                                      邊界                                                                                                                            
brow(s)                                                     眉毛                                                                                                                            
barrel                                                      桶                                                                                                                               
boot                                                        開機                                                                                                                            
bubble                                                      氣泡                                                                                                                            
badly                                                       嚴重                                                                                                                            
bacon                                                       培根                                                                                                                            
blouse                                                      女式襯衫                                                                                                                      
bacteria                                                    細菌                                                                                                                            
badminton                                                   羽毛球                                                                                                                         
bait                                                        餌                                                                                                                               
beggar                                                      乞丐                                                                                                                            
baggage                                                     行李                                                                                                                            
background                                                  背景                                                                                                                            
combine                                                     結合                                                                                                                            
cast(2)                                                     演員(2)                                                                                                                         
comfort                                                     舒適                                                                                                                            
casual                                                      隨意的                                                                                                                         
comma                                                       逗號                                                                                                                            
command                                                     命令                                                                                                                            
caterpillar                                                 毛蟲                                                                                                                            
chapter                                                     章節                                                                                                                            
constant                                                    持續的                                                                                                                         
cattle                                                      牛                                                                                                                               
channel                                                     渠道                                                                                                                            
continent                                                   大陸                                                                                                                            
contract                                                    合同                                                                                                                            
committee                                                   委員會                                                                                                                         
column                                                      柱子                                                                                                                            
colony                                                      殖民地                                                                                                                         
charm                                                       魅力                                                                                                                            
chat                                                        聊天                                                                                                                            
college                                                     大學                                                                                                                            
cheek                                                       臉頰                                                                                                                            
cheer                                                       歡呼                                                                                                                            
cheerful                                                    愉快                                                                                                                            
collection                                                  收藏                                                                                                                            
collar                                                      衣領                                                                                                                            
cone                                                        錐體                                                                                                                            
chain                                                       鏈                                                                                                                               
challenge                                                   挑戰                                                                                                                            
champion                                                    冠軍                                                                                                                            
complex                                                     複雜的                                                                                                                         
complaint                                                   抱怨                                                                                                                            
compete                                                     競爭                                                                                                                            
concern                                                     關心                                                                                                                            
concert                                                     音樂會                                                                                                                         
conclude                                                    得出結論                                                                                                                      
ceramic                                                     陶瓷製品                                                                                                                      
conclusion                                                  結論                                                                                                                            
centimeter                                                  厘米                                                                                                                            
condition                                                   （健康）狀況                                                                                                                
consideration                                               考慮                                                                                                                            
comparison                                                  比較                                                                                                                            
confident                                                   自信的                                                                                                                         
celebrate                                                   慶祝                                                                                                                            
confuse                                                     迷惑                                                                                                                            
connect                                                     連接                                                                                                                            
changeable                                                  多變                                                                                                                            
connection                                                  聯繫                                                                                                                            
communicate                                                 交流                                                                                                                            
conscious                                                   有意識的                                                                                                                      
cigarette                                                   香煙                                                                                                                            
considerable                                                大量                                                                                                                            
commercial                                                  商業的                                                                                                                         
cabin                                                       艙                                                                                                                               
chimney                                                     煙囪                                                                                                                            
clip                                                        夾子                                                                                                                            
chip                                                        芯片                                                                                                                            
crown                                                       王冠                                                                                                                            
clinic                                                      診所                                                                                                                            
crunchy                                                     鬆脆的                                                                                                                         
client                                                      客戶                                                                                                                            
crutch                                                      拐杖                                                                                                                            
choke                                                       嗆                                                                                                                               
click                                                       點擊                                                                                                                            
cultural                                                    文化                                                                                                                            
cupboard                                                    櫥櫃                                                                                                                            
chop                                                        劈                                                                                                                               
coconut                                                     椰子                                                                                                                            
current                                                     當前的                                                                                                                         
classical                                                   古典                                                                                                                            
cycle                                                       循環                                                                                                                            
campus                                                      校園                                                                                                                            
cane                                                        甘蔗                                                                                                                            
capture                                                     捕獲                                                                                                                            
civil                                                       民間的                                                                                                                         
canoe                                                       獨木舟                                                                                                                         
circus                                                      馬戲團                                                                                                                         
canyon                                                      峽谷                                                                                                                            
capable                                                     有能力的                                                                                                                      
capital(1)                                                  首都(1)                                                                                                                         
crisp/crispy                                                脆/脆                                                                                                                           
cheese                                                      起司                                                                                                                            
cocktail                                                    雞尾酒                                                                                                                         
cast(1)                                                     演員(1)                                                                                                                         
couch                                                       長椅                                                                                                                            
clue                                                        線索                                                                                                                            
countable                                                   可數的                                                                                                                         
cherry                                                      櫻桃                                                                                                                            
chest                                                       胸部                                                                                                                            
chew                                                        嚼                                                                                                                               
carriage                                                    運輸                                                                                                                            
coward                                                      懦夫                                                                                                                            
cradle                                                      搖籃                                                                                                                            
crash                                                       碰撞                                                                                                                            
crawl                                                       爬行                                                                                                                            
creative                                                    有創造力的                                                                                                                   
creator                                                     創造者                                                                                                                         
carpenter                                                   木匠                                                                                                                            
creature                                                    生物                                                                                                                            
credit                                                      信用                                                                                                                            
childhood                                                   童年                                                                                                                            
creep                                                       蠕變                                                                                                                            
chill                                                       寒意                                                                                                                            
crew                                                        全體人員                                                                                                                      
cricket                                                     蟋蟀                                                                                                                            
criminal                                                    刑事                                                                                                                            
chilly                                                      寒冷                                                                                                                            
dime                                                        十分錢                                                                                                                         
dust                                                        灰塵                                                                                                                            
detail                                                      細節                                                                                                                            
