AIDS/acquired_immune_deficiency_syndrome                    艾滋病/獲得性免疫缺陷綜合症                                                                                          
ATM/automatic_teller_machine                                ATM/自動櫃員機                                                                                                               
CD/compact_disk                                             CD/compact_disk                                                                                                                   
DVD/digital_video_disk/digital_versatile_disk               DVD/digital_video_disk/digital_versatile_disk                                                                                     
Internet/internet                                           互聯網/互聯網                                                                                                               
MTV/music_television                                        MTV/音樂電視                                                                                                                  
abandon                                                     放棄                                                                                                                            
appoint(ment)(1)                                            任命（一）                                                                                                                   
artistic                                                    藝術的                                                                                                                         
artificial                                                  人造的                                                                                                                         
article(1)                                                  第1條）                                                                                                                        
arouse                                                      引起                                                                                                                            
arms                                                        武器                                                                                                                            
arise                                                       出現                                                                                                                            
arch                                                        拱                                                                                                                               
approval                                                    贊同                                                                                                                            
appropriate                                                 合適的                                                                                                                         
appreciation                                                欣賞                                                                                                                            
appoint(ment)(2)                                            任命(ment)(2)                                                                                                                   
ashamed                                                     羞愧                                                                                                                            
application                                                 應用                                                                                                                            
applicant                                                   申請人                                                                                                                         
appliance                                                   器具                                                                                                                            
apology                                                     道歉                                                                                                                            
apologize                                                   道歉                                                                                                                            
anxious                                                     焦慮的                                                                                                                         
anxiety                                                     焦慮                                                                                                                            
annual                                                      年度的                                                                                                                         
annoy                                                       惹惱                                                                                                                            
anniversary                                                 週年紀念日                                                                                                                   
ancestor                                                    祖先                                                                                                                            
assure                                                      保證                                                                                                                            
awkward                                                     尷尬的                                                                                                                         
await                                                       等待                                                                                                                            
autobiography                                               自傳                                                                                                                            
authority                                                   權威                                                                                                                            
audio                                                       聲音的                                                                                                                         
attraction                                                  吸引力                                                                                                                         
attach(ment)                                                附件）                                                                                                                         
atomic                                                      原子                                                                                                                            
atom                                                        原子                                                                                                                            
atmosphere                                                  氣氛                                                                                                                            
athletic                                                    運動的                                                                                                                         
abdomen                                                     腹部                                                                                                                            
assurance                                                   保證                                                                                                                            
assume                                                      認為                                                                                                                            
association                                                 協會                                                                                                                            
associate                                                   聯繫                                                                                                                            
assistance                                                  協助                                                                                                                            
assign(ment)                                                任務）                                                                                                                         
assembly                                                    部件                                                                                                                            
assemble                                                    集合                                                                                                                            
aspirin                                                     阿司匹林                                                                                                                      
aspect                                                      方面                                                                                                                            
agreeable                                                   合適的                                                                                                                         
amuse(ment)                                                 娛樂）                                                                                                                         
amid/amidst                                                 在/之中                                                                                                                        
ambitious                                                   雄心勃勃的                                                                                                                   
amateur                                                     業餘                                                                                                                            
a.m./am/A.M./AM                                             上午/上午/上午/上午                                                                                                       
aluminum                                                    鋁                                                                                                                               
allowance/pocket_money                                      津貼/零花錢                                                                                                                  
alert                                                       警報                                                                                                                            
accuracy                                                    準確性                                                                                                                         
accuse                                                      指控                                                                                                                            
acid                                                        酸                                                                                                                               
acquaint                                                    相識                                                                                                                            
acquaintance                                                熟人                                                                                                                            
alcohol                                                     酒精                                                                                                                            
analyze                                                     分析                                                                                                                            
aggressive                                                  挑釁的                                                                                                                         
agent                                                       代理人                                                                                                                         
agency                                                      機構                                                                                                                            
adverb                                                      副詞                                                                                                                            
admission                                                   錄取                                                                                                                            
admiration                                                  欽佩                                                                                                                            
acquire                                                     獲得                                                                                                                            
acre                                                        英畝                                                                                                                            
adapt                                                       適應                                                                                                                            
admirable                                                   令人欽佩的                                                                                                                   
adequate                                                    足夠的                                                                                                                         
adjective                                                   形容詞                                                                                                                         
adjust(ment)                                                調整）                                                                                                                         
analysis                                                    分析                                                                                                                            
blade                                                       刀                                                                                                                               
bankrupt                                                    破產的                                                                                                                         
backpack                                                    背包                                                                                                                            
biology                                                     生物學                                                                                                                         
biography                                                   傳                                                                                                                               
behavior                                                    行為                                                                                                                            
beam(2)                                                     橫梁(2)                                                                                                                         
beak                                                        喙                                                                                                                               
brutal                                                      野蠻                                                                                                                            
battery                                                     電池                                                                                                                            
basin                                                       盆地                                                                                                                            
boast                                                       誇                                                                                                                               
bulletin                                                    公告                                                                                                                            
bald                                                        禿                                                                                                                               
ballet                                                      芭蕾舞                                                                                                                         
barrier                                                     障礙                                                                                                                            
bargain                                                     便宜貨                                                                                                                         
bounce                                                      彈跳                                                                                                                            
blend                                                       混合                                                                                                                            
blush                                                       臉紅                                                                                                                            
blessing                                                    祝福                                                                                                                            
blink                                                       眨                                                                                                                               
bloom                                                       盛開                                                                                                                            
broke                                                       壞了                                                                                                                            
blossom                                                     開花                                                                                                                            
bond                                                        紐帶                                                                                                                            
bracelet                                                    手鐲                                                                                                                            
brassiere/bra                                               胸罩/文胸                                                                                                                     
breed                                                       品種                                                                                                                            
broil                                                       烤                                                                                                                               
bridegroom/groom                                            新郎/新郎                                                                                                                     
carve                                                       雕刻                                                                                                                            
cargo                                                       貨物                                                                                                                            
combination                                                 組合                                                                                                                            
catalogue/catalog                                           目錄/目錄                                                                                                                     
code                                                        代碼                                                                                                                            
collapse                                                    坍塌                                                                                                                            
commit                                                      犯罪                                                                                                                            
candidate                                                   候選人                                                                                                                         
cripple                                                     削弱                                                                                                                            
capacity                                                    容量                                                                                                                            
cape                                                        岬                                                                                                                               
community                                                   社區                                                                                                                            
capital(ism)(2)                                             資本（主義）（2）                                                                                                         
communication                                               溝通                                                                                                                            
capitalist                                                  資本家                                                                                                                         
comedy                                                      喜劇                                                                                                                            
commerce                                                    商業                                                                                                                            
career                                                      職業                                                                                                                            
comment                                                     評論                                                                                                                            
commander                                                   指揮官                                                                                                                         
classify                                                    分類                                                                                                                            
carrier                                                     載體                                                                                                                            
comic(s)(2)                                                 漫畫(2)                                                                                                                         
comic(1)                                                    漫畫(1)                                                                                                                         
championship                                                錦標賽                                                                                                                         
charity                                                     慈善機構                                                                                                                      
characteristic                                              特徵                                                                                                                            
chemistry                                                   化學                                                                                                                            
cherish                                                     珍惜                                                                                                                            
chirp                                                       唧唧聲                                                                                                                         
chore                                                       瑣事                                                                                                                            
chorus                                                      合唱                                                                                                                            
cigar                                                       雪茄                                                                                                                            
cinema                                                      電影                                                                                                                            
circular                                                    圓                                                                                                                               
circulation                                                 循環                                                                                                                            
circumstance                                                環境                                                                                                                            
civilian                                                    平民                                                                                                                            
cease                                                       停止                                                                                                                            
chamber                                                     室                                                                                                                               
civilization                                                文明                                                                                                                            
cement                                                      水泥                                                                                                                            
clarify                                                     闡明                                                                                                                            
clash                                                       衝突                                                                                                                            
classification                                              分類                                                                                                                            
celebration                                                 慶典                                                                                                                            
cliff                                                       懸崖                                                                                                                            
circulate                                                   流通                                                                                                                            
climax                                                      高潮                                                                                                                            
