AI/artificial_intelligence                                  人工智能/人工智能                                                                                                         
Celsius/Centigrade/centigrade                               攝氏度/攝氏度/攝氏度                                                                                                     
Fahrenheit                                                  華氏度                                                                                                                         
adolescent                                                  青少年                                                                                                                         
auditorium                                                  禮堂                                                                                                                            
ass                                                         屁股                                                                                                                            
applaud                                                     鼓掌                                                                                                                            
altitude                                                    高度                                                                                                                            
antique                                                     古董                                                                                                                            
assault                                                     突擊                                                                                                                            
aisle                                                       走道                                                                                                                            
airway                                                      呼吸道                                                                                                                         
anthem                                                      國歌                                                                                                                            
accustom                                                    習慣                                                                                                                            
affection                                                   感情                                                                                                                            
agenda                                                      議程                                                                                                                            
agony                                                       痛苦                                                                                                                            
astronomer                                                  天文學家                                                                                                                      
astronomy                                                   天文學                                                                                                                         
agricultural                                                農業的                                                                                                                         
astronaut                                                   宇航員                                                                                                                         
advertiser                                                  廣告商                                                                                                                         
astray                                                      誤入歧途                                                                                                                      
adulthood                                                   成年期                                                                                                                         
astonish(ment)                                              驚訝                                                                                                                            
airtight                                                    密閉                                                                                                                            
abolish                                                     廢除                                                                                                                            
attendance                                                  考勤                                                                                                                            
adore                                                       崇拜                                                                                                                            
abortion                                                    流產                                                                                                                            
abrupt                                                      突兀的                                                                                                                         
abide                                                       遵守                                                                                                                            
asset                                                       資產                                                                                                                            
anchor                                                      錨                                                                                                                               
alien                                                       外星人                                                                                                                         
alter                                                       改變                                                                                                                            
ally                                                        盟國                                                                                                                            
auxiliary                                                   輔助的                                                                                                                         
awe                                                         敬畏                                                                                                                            
alligator                                                   鱷魚                                                                                                                            
awhile                                                      一會兒                                                                                                                         
adolescence                                                 青春期                                                                                                                         
algebra                                                     代數                                                                                                                            
armor                                                       盔甲                                                                                                                            
admiral                                                     上將                                                                                                                            
allergic                                                    過敏的                                                                                                                         
allergy                                                     過敏                                                                                                                            
arena                                                       競技場                                                                                                                         
architecture                                                建築學                                                                                                                         
apt                                                         易於                                                                                                                            
architect                                                   建築師                                                                                                                         
applause                                                    掌聲                                                                                                                            
acknowledge(ment)                                           確認（ment）                                                                                                                  
acne                                                        粉刺                                                                                                                            
ace                                                         高手                                                                                                                            
alternate                                                   備用                                                                                                                            
ascend                                                      上升                                                                                                                            
ample                                                       充足                                                                                                                            
blaze                                                       火焰                                                                                                                            
bowel                                                       腸                                                                                                                               
barbershop                                                  理髮店                                                                                                                         
breadth                                                     寬度                                                                                                                            
beware                                                      謹防                                                                                                                            
boxer                                                       拳擊手                                                                                                                         
boxing                                                      拳擊                                                                                                                            
blacksmith                                                  鐵匠                                                                                                                            
blast                                                       爆破                                                                                                                            
boyhood                                                     少年時代                                                                                                                      
badge                                                       徽章                                                                                                                            
brace                                                       支撐                                                                                                                            
blur                                                        模糊                                                                                                                            
braid                                                       編織                                                                                                                            
blues                                                       藍調                                                                                                                            
bonus                                                       獎金                                                                                                                            
ban                                                         禁止                                                                                                                            
bodily                                                      身體上的                                                                                                                      
bodyguard                                                   保鏢                                                                                                                            
bandit                                                      土匪                                                                                                                            
bog                                                         沼澤                                                                                                                            
banner                                                      橫幅                                                                                                                            
bolt                                                        螺栓                                                                                                                            
banquet                                                     宴會                                                                                                                            
boundary                                                    邊界                                                                                                                            
boom                                                        繁榮                                                                                                                            
booth                                                       攤位                                                                                                                            
boredom                                                     無聊                                                                                                                            
bosom                                                       懷                                                                                                                               
botany                                                      植物學                                                                                                                         
boulevard                                                   林蔭大道                                                                                                                      
barbarian                                                   野蠻人                                                                                                                         
bound                                                       邊界                                                                                                                            
beneficial                                                  有利                                                                                                                            
batch                                                       批                                                                                                                               
bulge                                                       凸                                                                                                                               
bulk                                                        塊                                                                                                                               
batter                                                      麵糊                                                                                                                            
bully                                                       欺負                                                                                                                            
bazaar                                                      市場                                                                                                                            
blizzard                                                    暴風雪                                                                                                                         
blond/blonde                                                金發/金發                                                                                                                     
bruise                                                      挫傷                                                                                                                            
bureau                                                      局                                                                                                                               
butcher                                                     屠夫                                                                                                                            
beautify                                                    美化                                                                                                                            
beforehand                                                  預先                                                                                                                            
beloved                                                     心愛                                                                                                                            
behalf                                                      代表                                                                                                                            
ballot                                                      選票                                                                                                                            
belongings                                                  財物                                                                                                                            
bachelor                                                    學士                                                                                                                            
bribe                                                       賄賂                                                                                                                            
briefcase                                                   公文包                                                                                                                         
barefoot                                                    赤腳                                                                                                                            
broaden                                                     擴大                                                                                                                            
bleach                                                      漂白                                                                                                                            
barren                                                      荒蕪                                                                                                                            
bid                                                         出價                                                                                                                            
backbone                                                    骨幹                                                                                                                            
blot/stain                                                  印跡/染色                                                                                                                     
bronze                                                      青銅                                                                                                                            
brooch                                                      胸針                                                                                                                            
brood                                                       育雛                                                                                                                            
broth                                                       肉湯                                                                                                                            
brotherhood                                                 手足情誼                                                                                                                      
bass                                                        低音                                                                                                                            
browse                                                      瀏覽                                                                                                                            
chemist                                                     化學家                                                                                                                         
compromise                                                  妥協                                                                                                                            
commuter                                                    通勤者                                                                                                                         
compact                                                     袖珍的                                                                                                                         
compass                                                     羅盤                                                                                                                            
compassion                                                  同情                                                                                                                            
compassionate                                               富有同情心的                                                                                                                
compel                                                      迫使                                                                                                                            
compliment                                                  讚揚                                                                                                                            
compound                                                    化合物                                                                                                                         
comprehend                                                  理解                                                                                                                            
comprehension                                               理解                                                                                                                            
commute                                                     通勤                                                                                                                            
compute                                                     計算                                                                                                                            
computerize                                                 計算機化                                                                                                                      
comrade                                                     同志                                                                                                                            
conceal                                                     隱藏                                                                                                                            
conceive                                                    構想                                                                                                                            
customs                                                     海關                                                                                                                            
condemn                                                     譴責                                                                                                                            
conduct                                                     執行                                                                                                                            
confession                                                  懺悔                                                                                                                            
confront                                                    面對                                                                                                                            
colleague                                                   同事                                                                                                                            
clasp                                                       釦子                                                                                                                            
clause                                                      條款                                                                                                                            
cling                                                       緊貼                                                                                                                            
