Antarctic/antarctic                                         南極/南極                                                                                                                     
Arctic/arctic                                               北極/北極                                                                                                                     
EQ/emotional_quotient/emotional_intelligence                情商/情商/情商                                                                                                              
GMO/genetically_modified_organism                           GMO/genetically_modified_organism                                                                                                 
IQ/intelligence_quotient                                    IQ/智商_商數                                                                                                                  
LCD/liquid_crystal_display                                  LCD/液晶顯示器                                                                                                               
PDA/personal_digital_assistant                              PDA/personal_digital_assistant                                                                                                    
Xerox/xerox                                                 施樂/施樂                                                                                                                     
abbreviate                                                  縮寫                                                                                                                            
antenna                                                     天線                                                                                                                            
aptitude                                                    資質                                                                                                                            
approximate                                                 近似                                                                                                                            
apprentice                                                  學徒                                                                                                                            
applicable                                                  適用的                                                                                                                         
antonym                                                     反義詞                                                                                                                         
anticipation                                                預期                                                                                                                            
anticipate                                                  預料                                                                                                                            
antibody                                                    抗體                                                                                                                            
antibiotic                                                  抗生素                                                                                                                         
arrogant                                                    傲慢的                                                                                                                         
anonymous                                                   匿名的                                                                                                                         
annoyance                                                   煩惱                                                                                                                            
animate                                                     動畫                                                                                                                            
anecdote                                                    軼事                                                                                                                            
analytical                                                  分析性的                                                                                                                      
analyst                                                     分析師                                                                                                                         
analogy                                                     比喻                                                                                                                            
analects                                                    論語                                                                                                                            
amplify                                                     放大                                                                                                                            
attain(ment)                                                素養）                                                                                                                         
awesome                                                     驚人的                                                                                                                         
aviation                                                    航空                                                                                                                            
autonomy                                                    自治                                                                                                                            
autograph/signature                                         親筆簽名                                                                                                                      
authorize                                                   授權                                                                                                                            
authentic                                                   真正的                                                                                                                         
auction                                                     拍賣                                                                                                                            
attic                                                       閣樓                                                                                                                            
attendant                                                   服務員                                                                                                                         
abbreviation                                                縮寫                                                                                                                            
asylum                                                      避難所                                                                                                                         
asthma                                                      哮喘                                                                                                                            
assumption                                                  假設                                                                                                                            
assess(ment)                                                評估）                                                                                                                         
assert                                                      斷言                                                                                                                            
assassinate                                                 暗殺                                                                                                                            
artifact                                                    人工製品                                                                                                                      
articulate                                                  口齒伶俐                                                                                                                      
artery                                                      動脈                                                                                                                            
accountable                                                 負責任的                                                                                                                      
addict                                                      癮君子                                                                                                                         
adaptation                                                  適應                                                                                                                            
acute                                                       急性                                                                                                                            
activist                                                    活動家                                                                                                                         
acquisition                                                 獲得                                                                                                                            
