April/Apr.                                                  四月/四月。                                                                                                                  
August/Aug.                                                 八月                                                                                                                            
Christmas/Xmas                                              聖誕節/聖誕節                                                                                                               
December/Dec.                                               十二月/十二月                                                                                                               
English                                                     英語                                                                                                                            
February/Feb.                                               二月/二月。                                                                                                                  
Friday/Fri.                                                 週五/週五。                                                                                                                  
I                                                           我                                                                                                                               
January/Jan.                                                一月/一月。                                                                                                                  
June/Jun.                                                   六月/六月。                                                                                                                  
July/Jul.                                                   七月/七月。                                                                                                                  
Miss/miss                                                   小姐/小姐                                                                                                                     
Monday/Mon.                                                 週一/週一。                                                                                                                  
March/Mar.                                                  三月/三月。                                                                                                                  
Ms.                                                         小姐。                                                                                                                         
Mrs.                                                        太太。                                                                                                                         
Mr./mister                                                  先生/先生                                                                                                                     
May                                                         可能                                                                                                                            
November/Nov.                                               十一月/十一月。                                                                                                            
O.K./OK/okay                                                好的/好的/好的                                                                                                              
October/Oct.                                                十月/十月。                                                                                                                  
Sunday/Sun.                                                 週日/週日。                                                                                                                  
Saturday/Sat.                                               星期六/星期六。                                                                                                            
September/Sept.                                             九月/九月                                                                                                                     
T-shirt                                                     T卹                                                                                                                              
Thursday/Thurs./Thur.                                       週四/週四/週四                                                                                                              
Tuesday/Tues./Tue.                                          星期二/星期二/星期二。                                                                                                  
Wednesday/Wed./Weds.                                        星期三/星期三/星期三。                                                                                                  
allow                                                       允許                                                                                                                            
add                                                         添加                                                                                                                            
address                                                     地址                                                                                                                            
afraid                                                      害怕                                                                                                                            
all                                                         全部                                                                                                                            
away                                                        離開                                                                                                                            
ago                                                         前                                                                                                                               
almost                                                      幾乎                                                                                                                            
after                                                       後                                                                                                                               
airport                                                     飛機場                                                                                                                         
afternoon                                                   下午                                                                                                                            
airplane/plane                                              飛機/飛機                                                                                                                     
airmail                                                     空郵                                                                                                                            
again                                                       再次                                                                                                                            
air                                                         空氣                                                                                                                            
against                                                     反對                                                                                                                            
ahead                                                       先                                                                                                                               
already                                                     已經                                                                                                                            
age                                                         年齡                                                                                                                            
adult                                                       成人                                                                                                                            
agree(ment)                                                 協議）                                                                                                                         
ape                                                         猿                                                                                                                               
angry                                                       生氣的                                                                                                                         
animal                                                      動物                                                                                                                            
another                                                     其他                                                                                                                            
answer                                                      回答                                                                                                                            
ant                                                         螞蟻                                                                                                                            
ask                                                         問                                                                                                                               
any                                                         任何                                                                                                                            
as                                                          作為                                                                                                                            
anything                                                    任何事物                                                                                                                      
actor/actress                                               演員                                                                                                                            
art                                                         藝術                                                                                                                            
appear                                                      出現                                                                                                                            
apple                                                       蘋果                                                                                                                            
around                                                      大約                                                                                                                            
army                                                        軍隊                                                                                                                            
arm(1)                                                      手臂(1)                                                                                                                         
area                                                        區域                                                                                                                            
are                                                         是                                                                                                                               
and                                                         和                                                                                                                               
alone                                                       獨自的                                                                                                                         
along                                                       沿著                                                                                                                            
also                                                        還                                                                                                                               
action                                                      行動                                                                                                                            
act                                                         行為                                                                                                                            
across                                                      穿過                                                                                                                            
autumn/fall                                                 秋天/秋天                                                                                                                     
always                                                      總是                                                                                                                            
am                                                          是                                                                                                                               
aunt/auntie/aunty                                           阿姨/阿姨/阿姨                                                                                                              
among                                                       之中                                                                                                                            
at                                                          在                                                                                                                               
anger                                                       憤怒                                                                                                                            
back                                                        背部                                                                                                                            
bad                                                         壞的                                                                                                                            
banana                                                      香蕉                                                                                                                            
band                                                        樂隊                                                                                                                            
baby                                                        嬰兒                                                                                                                            
balloon                                                     氣球                                                                                                                            
ball                                                        球                                                                                                                               
bag                                                         包                                                                                                                               
bank(1)                                                     銀行(1)                                                                                                                         
bank(2)                                                     銀行(2)                                                                                                                         
book(1)                                                     書(1)                                                                                                                            
boy                                                         男生                                                                                                                            
beach                                                       海灘                                                                                                                            
be                                                          是                                                                                                                               
brave                                                       勇敢的                                                                                                                         
bread                                                       麵包                                                                                                                            
because                                                     因為                                                                                                                            
blow                                                        吹                                                                                                                               
break                                                       休息                                                                                                                            
begin                                                       開始                                                                                                                            
box                                                         盒子                                                                                                                            
bathroom                                                    浴室                                                                                                                            
bathe                                                       洗澡                                                                                                                            
bath                                                        洗澡                                                                                                                            
breakfast                                                   早餐                                                                                                                            
blood                                                       血液                                                                                                                            
block                                                       堵塞                                                                                                                            
behind                                                      在後面                                                                                                                         
believe                                                     相信                                                                                                                            
both                                                        兩個都                                                                                                                         
body                                                        身體                                                                                                                            
book(2)                                                     書(2)                                                                                                                            
beautiful                                                   美麗的                                                                                                                         
bee                                                         蜜蜂                                                                                                                            
bone                                                        骨                                                                                                                               
beauty                                                      美麗                                                                                                                            
beat                                                        打                                                                                                                               
born                                                        出生                                                                                                                            
bat(2)                                                      蝙蝠(2)                                                                                                                         
bottom                                                      底部                                                                                                                            
boat                                                        船                                                                                                                               
before                                                      前                                                                                                                               
blue                                                        藍色的                                                                                                                         
bear(1)                                                     熊(1)                                                                                                                            
bowl                                                        碗                                                                                                                               
bed                                                         床                                                                                                                               
become                                                      變得                                                                                                                            
best                                                        最好的                                                                                                                         
brother                                                     兄弟                                                                                                                            
bat(1)                                                      蝙蝠(1)                                                                                                                         
bug                                                         漏洞                                                                                                                            
build                                                       建造                                                                                                                            
building                                                    建造                                                                                                                            
beside                                                      旁                                                                                                                               
bicycle/bike                                                自行車/自行車                                                                                                               
bus                                                         公共汽車                                                                                                                      
busy                                                        忙碌的                                                                                                                         
brown                                                       棕色的                                                                                                                         
but                                                         但                                                                                                                               
butter                                                      牛油                                                                                                                            
barber                                                      理髮師                                                                                                                         
between                                                     之間                                                                                                                            
butterfly                                                   蝴蝶                                                                                                                            
buy                                                         買                                                                                                                               
bar                                                         酒吧                                                                                                                            
by                                                          經過                                                                                                                            
better                                                      更好的                                                                                                                         
bite                                                        咬                                                                                                                               
bell                                                        鐘                                                                                                                               
black                                                       黑色的                                                                                                                         
belong                                                      屬於                                                                                                                            
below                                                       以下                                                                                                                            
basketball                                                  籃球                                                                                                                            
basket                                                      籃子                                                                                                                            
bridge                                                      橋                                                                                                                               
big                                                         大的                                                                                                                            
bit                                                         少量                                                                                                                            
bright                                                      明亮的                                                                                                                         
bring                                                       帶來                                                                                                                            
birth                                                       誕生                                                                                                                            
basic                                                       基本的                                                                                                                         
bird                                                        鳥                                                                                                                               
baseball                                                    棒球                                                                                                                            
base                                                        根據                                                                                                                            
cook                                                        廚師                                                                                                                            
cookie/cooky                                                餅乾/餅乾                                                                                                                     
clear                                                       清除                                                                                                                            
continue                                                    繼續                                                                                                                            
cool                                                        涼爽的                                                                                                                         
come                                                        來                                                                                                                               
common                                                      常見的                                                                                                                         
corn                                                        玉米                                                                                                                            
correct                                                     正確的                                                                                                                         
cost                                                        成本                                                                                                                            
count                                                       數數                                                                                                                            
country                                                     國家                                                                                                                            
course                                                      課程                                                                                                                            
cover                                                       覆蓋                                                                                                                            
cow                                                         奶牛                                                                                                                            
cowboy                                                      牛仔                                                                                                                            
crow(1)                                                     烏鴉(1)                                                                                                                         
cry                                                         哭                                                                                                                               
cub                                                         幼獸                                                                                                                            
cup                                                         杯子                                                                                                                            
cut                                                         切                                                                                                                               
cute                                                        可愛的                                                                                                                         
care                                                        關心                                                                                                                            
chair                                                       椅子                                                                                                                            
certain                                                     肯定                                                                                                                            
center                                                      中央                                                                                                                            
cent                                                        分                                                                                                                               
cause                                                       原因                                                                                                                            
catch                                                       抓住                                                                                                                            
cat                                                         貓                                                                                                                               
case(2)                                                     案例(2)                                                                                                                         
case(1)                                                     情況1）                                                                                                                        
carry                                                       攜帶                                                                                                                            
careful                                                     小心                                                                                                                            
cold                                                        寒冷的                                                                                                                         
card                                                        卡片                                                                                                                            
car                                                         車                                                                                                                               
cap                                                         帽                                                                                                                               
candy/sweet                                                 糖果                                                                                                                            
